회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),상장일,상장폐지일
(주)골드퍼시픽,038530,2012/12,,,,,,2000/06/09,
(주)골드퍼시픽,038530,2013/12,33687572,16190999,-6137582,-9381353,7167832,2000/06/09,
(주)골드퍼시픽,038530,2014/12,41948832,16567915,-5819314,-7390326,16486257,2000/06/09,
(주)골드퍼시픽,038530,2015/12,28573328,21193149,-8243124,-10215946,18635305,2000/06/09,
(주)골드퍼시픽,038530,2016/12,,,,,,2000/06/09,
(주)골드퍼시픽,038530,2017/12,,,,,,2000/06/09,
(주)골드퍼시픽,038530,2018/12,37825442,20086698,-904003,-4471963,5708281,2000/06/09,
(주)골드퍼시픽,038530,2019/12,,,,,,2000/06/09,
(주)골드퍼시픽,038530,2020/12,,,,,,2000/06/09,
(주)골프존,215000,2015/12,178132253,108853909,49582444,36533155,201560389,2015/04/03,
(주)골프존,215000,2016/12,187914226,120648626,45442469,36536248,216964342,2015/04/03,
(주)골프존,215000,2017/12,253672419,189381881,37457577,79392004,200105321,2015/04/03,
(주)골프존,215000,2018/12,254057808,194919561,28160266,20419449,198705194,2015/04/03,
(주)골프존,215000,2019/12,312587283,200042879,32297494,16213888,247018099,2015/04/03,
(주)골프존,215000,2020/12,367293667,225570692,51572914,37497361,298524085,2015/04/03,
(주)골프존뉴딘홀딩스,121440,2011/12,378054302,348968757,54442032,46487063,215793737,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2012/12,540922890,411636973,69002648,73354594,289629366,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2013/12,637840057,424543916,80489158,2803470,365126358,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2014/12,762037240,486385956,102393717,79234486,429589619,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2015/12,767325175,551360423,-9349582,871101274,164536448,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2016/12,760772930,528087415,37005985,2876449,243275475,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2017/12,756500949,500912642,18422625,-21585123,213756902,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2018/12,774743339,485969871,1114231,-7527390,223036801,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2019/12,776384700,447197508,-3625436,-34848135,228935651,2011/05/20,
(주)골프존뉴딘홀딩스,121440,2020/12,795768970,469481392,29999994,28481672,292025578,2011/05/20,
(주)공구우먼,366030,2017/12,,,,,,2022/03/23,
(주)공구우먼,366030,2018/12,,,,,,2022/03/23,
(주)공구우먼,366030,2019/12,,,,,,2022/03/23,
(주)공구우먼,366030,2020/12,,,,,,2022/03/23,
(주)광림,014200,2011/12,,,,,,1993/07/07,
(주)광림,014200,2012/12,,,,,,1993/07/07,
(주)광림,014200,2013/12,,,,,,1993/07/07,
(주)광림,014200,2014/12,244886480,128970849,2185491,-237860,231446314,1993/07/07,
(주)광림,014200,2015/12,,,,,,1993/07/07,
(주)광림,014200,2016/12,229596737,113505965,171774,-1896521,87302967,1993/07/07,
(주)광림,014200,2017/12,208058303,107690687,-12369550,-23602051,135191558,1993/07/07,
(주)광림,014200,2018/12,187812629,90075229,-1044494,-28445678,136595300,1993/07/07,
(주)광림,014200,2019/12,252468254,90772137,-10983157,-14006972,145864184,1993/07/07,
(주)광림,014200,2020/12,212123388,81613304,8844914,-23823893,161220310,1993/07/07,
(주)광명전기,017040,2011/12,123886511,62936103,496117,-1825104,92382628,1990/09/14,
(주)광명전기,017040,2012/12,131064345,62992204,4187750,407617,117216514,1990/09/14,
(주)광명전기,017040,2013/12,120910764,69847678,10781483,6473480,117852824,1990/09/14,
(주)광명전기,017040,2014/12,138580023,78696030,12461662,9107331,134778387,1990/09/14,
(주)광명전기,017040,2015/12,131457603,87829336,9342095,8891002,116316957,1990/09/14,
(주)광명전기,017040,2016/12,146859319,98063360,3616733,11593891,96942911,1990/09/14,
(주)광명전기,017040,2017/12,152717140,96648221,2197753,-2043260,101561159,1990/09/14,
