회사명,거래소코드,회계년도,매출액(영업수익)(*)(연결),영업이익(손실)(연결),당기순이익(순손실)(연결)
(주)남성알미늄,033220,2001/12,,,
(주)남성알미늄,033220,2002/12,,,
(주)남성알미늄,033220,2003/12,,,
(주)남성알미늄,033220,2004/12,,,
(주)네오리소스,058550,2002/12,,,
(주)네오리소스,058550,2003/12,,,
(주)네오리소스,058550,2004/12,,,
(주)네오리소스,058550,2005/12,,,
(주)네오리소스,058550,2006/12,,,
(주)네오리소스,058550,2007/12,,,
(주)네오리소스,058550,2008/12,,,
(주)네오리진,094860,2007/12,,,
(주)네오리진,094860,2008/12,,,
(주)네오리진,094860,2009/12,,,
(주)네오리진,094860,2010/12,,,
(주)네오위즈,095660,2007/12,120179226,27039417,15808730
(주)네오위즈,095660,2008/12,247633225,48745822,28502393
(주)네오위즈,095660,2009/12,370233271,79843239,50293798
(주)네오위즈,095660,2010/12,506106121,111671165,20547593
(주)네오위즈홀딩스,042420,2000/12,,,
(주)네오위즈홀딩스,042420,2001/12,,,
(주)네오위즈홀딩스,042420,2002/12,,,
(주)네오위즈홀딩스,042420,2003/12,83523847,22337847,6193151
(주)네오위즈홀딩스,042420,2004/12,77622468,3386569,-418884
(주)네오위즈홀딩스,042420,2005/12,,,
(주)네오위즈홀딩스,042420,2006/12,,,
(주)네오위즈홀딩스,042420,2007/12,7403858,-8073124,-31197104
(주)네오위즈홀딩스,042420,2008/12,278468305,46373067,7659802
(주)네오위즈홀딩스,042420,2009/12,400884315,78195627,50615411
(주)네오위즈홀딩스,042420,2010/12,549305107,110557681,31477627
(주)네오티스,085910,2007/12,,,
(주)네오티스,085910,2008/12,,,
(주)네오티스,085910,2009/12,,,
(주)네오티스,085910,2010/12,38920125,408883,1445536
(주)네오팜,092730,2007/06,,,
(주)네오팜,092730,2008/12,,,
(주)네오팜,092730,2009/12,,,
(주)네오팜,092730,2010/12,,,
(주)네오퍼플,028090,2000/12,,,
(주)네오퍼플,028090,2001/12,36747305,2023503,1309846
(주)네오퍼플,028090,2002/12,37986015,2085105,1120541
