회사명,거래소코드,회계년도,상장일,상장폐지일,자산(*)(연결)(천원),자본(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),영업이익(손실)(연결)(천원),당기순이익(순손실)(연결)(천원)
(주)고합,004460,2001/12,1973/10/25,2002/04/12,895206121,-1284861151,1303542831,-47215936,-764917842
(주)골드앤에스,035290,2000/12,1999/12/07,,,,,,
(주)골드앤에스,035290,2001/12,1999/12/07,,,,,,
(주)골드앤에스,035290,2002/12,1999/12/07,,,,,,
(주)골드앤에스,035290,2003/12,1999/12/07,,,,,,
(주)골드앤에스,035290,2004/12,1999/12/07,,,,,,
(주)골드앤에스,035290,2005/12,1999/12/07,,,,,,
(주)골드앤에스,035290,2006/12,1999/12/07,,,,,,
(주)골드앤에스,035290,2007/12,1999/12/07,,,,,,
(주)골드앤에스,035290,2008/12,1999/12/07,,,,,,
(주)골드앤에스,035290,2009/12,1999/12/07,,,,,,
(주)골드앤에스,035290,2010/12,1999/12/07,,,,,,
(주)골드카운티,058900,2001/12,2004/10/29,2010/10/12,,,,,
(주)골드카운티,058900,2002/12,2004/10/29,2010/10/12,,,,,
(주)골드카운티,058900,2003/12,2004/10/29,2010/10/12,,,,,
(주)골드카운티,058900,2004/12,2004/10/29,2010/10/12,,,,,
(주)골드카운티,058900,2005/12,2004/10/29,2010/10/12,,,,,
(주)골드카운티,058900,2006/12,2004/10/29,2010/10/12,,,,,
(주)골드카운티,058900,2007/12,2004/10/29,2010/10/12,14178780,1595077,9789297,-13379039,-48989171
(주)골드카운티,058900,2008/12,2004/10/29,2010/10/12,,,,,
(주)골드카운티,058900,2009/12,2004/10/29,2010/10/12,38167820,36234516,3755464,-3397130,-14359362
(주)골드퍼시픽,038530,2000/12,2000/06/09,,,,,,
(주)골드퍼시픽,038530,2001/12,2000/06/09,,,,,,
(주)골드퍼시픽,038530,2002/12,2000/06/09,,,,,,
(주)골드퍼시픽,038530,2003/12,2000/06/09,,,,,,
(주)골드퍼시픽,038530,2004/12,2000/06/09,,39609535,21872055,44831508,-10627672,-24575256
(주)골드퍼시픽,038530,2005/12,2000/06/09,,,,,,
(주)골드퍼시픽,038530,2006/12,2000/06/09,,,,,,
(주)골드퍼시픽,038530,2007/12,2000/06/09,,,,,,
(주)골드퍼시픽,038530,2008/12,2000/06/09,,,,,,
(주)골드퍼시픽,038530,2009/12,2000/06/09,,,,,,
(주)골드퍼시픽,038530,2010/12,2000/06/09,,,,,,
(주)골프존뉴딘홀딩스,121440,2007/12,2011/05/20,,,,,,
(주)골프존뉴딘홀딩스,121440,2008/12,2011/05/20,,,,,,
(주)골프존뉴딘홀딩스,121440,2009/12,2011/05/20,,,,,,
(주)골프존뉴딘홀딩스,121440,2010/12,2011/05/20,,,,,,
(주)광림,014200,2000/12,1993/07/07,,,,,,
(주)광림,014200,2001/12,1993/07/07,,,,,,
(주)광림,014200,2002/12,1993/07/07,,,,,,
(주)광림,014200,2003/12,1993/07/07,,,,,,
(주)광림,014200,2004/12,1993/07/07,,,,,,
(주)광림,014200,2005/12,1993/07/07,,,,,,
(주)광림,014200,2006/12,1993/07/07,,,,,,
(주)광림,014200,2007/12,1993/07/07,,,,,,
(주)광림,014200,2008/12,1993/07/07,,,,,,
(주)광림,014200,2009/12,1993/07/07,,,,,,
(주)광림,014200,2010/12,1993/07/07,,,,,,
(주)광명전기,017040,2000/12,1990/09/14,,,,,,
(주)광명전기,017040,2002/11,1990/09/14,,,,,,
(주)광명전기,017040,2003/11,1990/09/14,,,,,,
(주)광명전기,017040,2004/11,1990/09/14,,,,,,
(주)광명전기,017040,2005/12,1990/09/14,,71839377,46223871,55086574,253108,4354991
(주)광명전기,017040,2006/12,1990/09/14,,72777783,53901317,52923069,873494,4864997
(주)광명전기,017040,2007/12,1990/09/14,,89089327,57890532,65945292,1041356,808272
(주)광명전기,017040,2008/12,1990/09/14,,101899167,58974657,77349378,1123094,-354351
(주)광명전기,017040,2009/12,1990/09/14,,99663020,59371178,84159404,4021322,1220668
(주)광명전기,017040,2010/12,1990/09/14,,108857547,60196063,92782880,3987892,941537
(주)광무,029480,2000/12,1996/08/27,,,,,,
(주)광무,029480,2001/12,1996/08/27,,,,,,
(주)광무,029480,2002/12,1996/08/27,,,,,,
(주)광무,029480,2003/12,1996/08/27,,,,,,
(주)광무,029480,2004/12,1996/08/27,,,,,,
(주)광무,029480,2005/12,1996/08/27,,,,,,
(주)광무,029480,2006/12,1996/08/27,,,,,,
(주)광무,029480,2007/12,1996/08/27,,64604051,28735951,73948574,2652844,1510193
(주)광무,029480,2008/12,1996/08/27,,,,,,
(주)광무,029480,2009/12,1996/08/27,,,,,,
