,회사명,거래소코드,회계년도,영업이익,당기순이익,매출액
328,(주)국보디자인,66620,2003/12,5959799.0,4341386.0,65251955.0
329,(주)국보디자인,66620,2004/12,528665.0,255073.0,55022175.0
330,(주)국보디자인,66620,2005/12,4076530.0,2926505.0,67035044.0
331,(주)국보디자인,66620,2006/12,3137131.0,3272492.0,73557007.0
332,(주)국보디자인,66620,2007/12,6405990.0,4580072.0,97086759.0
333,(주)국보디자인,66620,2008/12,3269165.0,3819937.0,126215339.0
334,(주)국보디자인,66620,2009/12,10206536.0,5072819.0,111872795.0
335,(주)국보디자인,66620,2010/12,8239228.0,5526594.0,117346477.0
336,(주)국순당,43650,2000/12,16707958.0,12544914.0,65570292.0
337,(주)국순당,43650,2001/12,30697011.0,22883388.0,98403986.0
338,(주)국순당,43650,2002/12,35580189.0,26722586.0,116727157.0
339,(주)국순당,43650,2003/12,38014892.0,28338871.0,147511979.0
340,(주)국순당,43650,2004/12,23382436.0,18849115.0,129116297.0
341,(주)국순당,43650,2005/12,23092966.0,20452044.0,118130602.0
342,(주)국순당,43650,2006/12,4821840.0,6675227.0,95105720.0
343,(주)국순당,43650,2007/12,4463673.0,5297336.0,81581708.0
344,(주)국순당,43650,2008/12,2701213.0,3688824.0,74177543.0
345,(주)국순당,43650,2009/12,4398659.0,7916235.0,74781304.0
346,(주)국순당,43650,2010/12,14160223.0,14364538.0,103748078.0
347,(주)국영지앤엠,6050,2000/12,1781542.0,1054412.0,31307592.0
348,(주)국영지앤엠,6050,2001/12,759491.0,-1158046.0,29581293.0
349,(주)국영지앤엠,6050,2002/12,-2553301.0,-2490706.0,28628285.0
350,(주)국영지앤엠,6050,2003/12,1433058.0,1582669.0,26440742.0
351,(주)국영지앤엠,6050,2004/12,2222034.0,1647431.0,36566456.0
352,(주)국영지앤엠,6050,2005/12,2088507.0,1759689.0,29896968.0
353,(주)국영지앤엠,6050,2006/12,778798.0,1144613.0,32511431.0
