회사명,거래소코드,회계년도,상장일,상장폐지일,매출액증가율_계산
(주)광무,29480,2013/12,1996/08/27,,-50.13372331504628
(주)광무,29480,2014/12,1996/08/27,,87.05147919507851
(주)광무,29480,2015/12,1996/08/27,,-54.05194999477605
(주)광무,29480,2016/12,1996/08/27,,49.757585534356956
(주)광무,29480,2017/12,1996/08/27,,-18.49796426078181
(주)광무,29480,2018/12,1996/08/27,,7.121263390714422
(주)광무,29480,2019/12,1996/08/27,,58.110822471875444
(주)광무,29480,2020/12,1996/08/27,,-30.994853933009885
(주)광주신세계,37710,2010/12,2002/02/07,,11.076546064439894
(주)광주신세계,37710,2011/12,2002/02/07,,3.060764209923698
(주)광주신세계,37710,2012/12,2002/02/07,,-2.6457119574162453
(주)광주신세계,37710,2013/12,2002/02/07,,-3.3659453688276177
(주)광주신세계,37710,2014/12,2002/02/07,,-0.8645480597371793
(주)광주신세계,37710,2015/12,2002/02/07,,0.2496972214118784
(주)광주신세계,37710,2016/12,2002/02/07,,2.4797424065035156
(주)광주신세계,37710,2017/12,2002/02/07,,-0.3688911425018242
(주)광주신세계,37710,2018/12,2002/02/07,,-35.50438126194387
(주)광주신세계,37710,2019/12,2002/02/07,,14.544519645920792
(주)광주신세계,37710,2020/12,2002/02/07,,-4.759210993300236
(주)구영테크,53270,2010/12,2002/02/07,,37.74156935192331
(주)구영테크,53270,2011/12,2002/02/07,,-1.802620060093358
(주)구영테크,53270,2012/12,2002/02/07,,5.382228506669871
(주)구영테크,53270,2013/12,2002/02/07,,10.885447179360327
(주)구영테크,53270,2014/12,2002/02/07,,-1.2843163363533823
(주)구영테크,53270,2015/12,2002/02/07,,0.9114917633744384
(주)구영테크,53270,2016/12,2002/02/07,,-13.81975281016784
(주)구영테크,53270,2017/12,2002/02/07,,1.032868176058819
(주)구영테크,53270,2018/12,2002/02/07,,30.30365394536278
(주)구영테크,53270,2019/12,2002/02/07,,18.241804956146446
(주)구영테크,53270,2020/12,2002/02/07,,-14.811493995477717
(주)국동,5320,2010/12,1996/12/24,,2.128323783280399
(주)국동,5320,2011/12,1996/12/24,,2.5244435956865643
(주)국동,5320,2012/12,1996/12/24,,-10.448154300032853
(주)국동,5320,2013/12,1996/12/24,,7.011137348316144
(주)국동,5320,2014/12,1996/12/24,,25.853019960533402
(주)국동,5320,2015/12,1996/12/24,,-8.485563339525632
(주)국동,5320,2016/12,1996/12/24,,15.897404630622475
(주)국동,5320,2017/12,1996/12/24,,-2.9213007574660144
(주)국동,5320,2018/12,1996/12/24,,14.585923291624642
(주)국동,5320,2019/12,1996/12/24,,1.6065261364044119
(주)국동,5320,2020/12,1996/12/24,,13.602404599129262
(주)국보,1140,2010/12,1989/12/02,,11.950472405479086
(주)국보,1140,2011/12,1989/12/02,,20.29819493791631
(주)국보,1140,2012/12,1989/12/02,,-6.348298642518834
(주)국보,1140,2013/12,1989/12/02,,-4.307228371321205
(주)국보,1140,2014/12,1989/12/02,,-16.70171603307165
(주)국보,1140,2015/12,1989/12/02,,-6.051695829198163
(주)국보,1140,2016/12,1989/12/02,,-4.677239744420739
(주)국보,1140,2017/12,1989/12/02,,-10.394432933883682
(주)국보,1140,2018/12,1989/12/02,,-8.568972295654739
(주)국보,1140,2019/12,1989/12/02,,24.510898894124526
(주)국보,1140,2020/12,1989/12/02,,23.39435480244588
(주)국보디자인,66620,2010/12,2002/09/05,,4.892773082142089
(주)국보디자인,66620,2011/12,2002/09/05,,11.370779371586929
(주)국보디자인,66620,2012/12,2002/09/05,,-8.636253820366512
(주)국보디자인,66620,2013/12,2002/09/05,,36.946764810158484
(주)국보디자인,66620,2014/12,2002/09/05,,7.861720948871509
(주)국보디자인,66620,2015/12,2002/09/05,,9.204643859252945
(주)국보디자인,66620,2016/12,2002/09/05,,4.569649904905285
(주)국보디자인,66620,2017/12,2002/09/05,,34.381790050963254
(주)국보디자인,66620,2018/12,2002/09/05,,-6.058769909620948
(주)국보디자인,66620,2019/12,2002/09/05,,5.799634456617971
(주)국보디자인,66620,2020/12,2002/09/05,,7.112486229673946
(주)국순당,43650,2010/12,2000/08/24,,38.735315447294155
(주)국순당,43650,2011/12,2000/08/24,,23.07336141687367
